Policy Path,Policy Name,Policy State,Policy Value,Registry Path,Registry Value Name,Registry Data Value,Applicable Client,Applicable Server,Required for Applicable OS
Computer Configuration > Administrative Templates > Windows Components > BitLocker Drive Encryption > Operating System Drives,Allow enhanced PINs for startup,Enabled, ,HKLM\Software\Policies\Microsoft\FVE,UseEnhancedPin,1,Windows 7+,Windows Server 2008 R2+,Yes
Computer Configuration > Administrative Templates > Windows Components > BitLocker Drive Encryption > Operating System Drives,Configure minimum PIN length for startup,Enabled,6 *or* larger value,HKLM\Software\Policies\Microsoft\FVE,MinimumPIN,6 *or* larger,Windows 7+,Windows Server 2008 R2+,Yes
